ID,ADDRESS,MESSAGE
102,TNT,"KaTropa! Na-claim mo na ba ang FREE 2 GB for TikTok, IG, FB, Twitter & Kumu for 2 days mo? Mag-load na ng P20 or more to get your FREEBIE!"
103,TNT,"KaTropa! Claim your FREE 2 GB for TikTok, IG, FB, Twitter & Kumu for 2 days! Mag-avail lang ng P20 or more regular load by 07-September-2022! Load now!"
104,TNT,"Get up to P60 when you sign up with Maya, your new all-in-one money app! Plus, get P20 cashback pag bumili ng P100 load. Download Maya now! https://official.maya.ph/3xMF/fx6b229q Learn more http://mayaph.co/cURpVlhH"
105,TNT,Certified Tiktoker ka ba? Get FREE TIKTOK ARAW-ARAW for as low as P50! Go to smrt.ph/dmo NOW!
106,TNT,"May Regular Load na may kasamang FREE Data sa bagong TNT EXTRA LOAD starting at P75! Go to smrt.ph/GigaLifeApp, tap the Add Load +"" icon and load P75 and up"""
107,TNT,Regular Load na may kasamang FREE Data? Nasa bagong TNT EXTRA LOAD 'yarn starting at P75! Punta na sa suking tindahan or get it on smrt.ph/GigaLifeApp
108,TNT,"2/2 Tap 'FREE TIKTOK FOR ALL' for ALL DATA 50, 'SURFSAYA' for SURFSAYA 20, 'OTHERS' for PANTAWID 10 sa smrt.ph/GigaLifeApp, *123# o magload sa suking tindahan!"
109,TNT,"1/2 Hindi porke nagtitipid, stop ang saya! Tuloy ang saya sa TNT Affordaloads! May All Data 50 with Free Tiktok, SurfSaya 20 at Pantawid 10 to keep saya going!"
110,TNT,Regular Load na may kasamang FREE Data? Nasa bagong TNT EXTRA LOAD 'yarn starting at P75! Punta na sa suking tindahan or get it on smrt.ph/GigaLifeApp
111,TNT,Huwag kalimutang mag-load ng P20 or more to get FREE 1 GB for 2 days. Load na!
112,TNT,Ka-Tropa! Get FREE 1 GB for 2 days pag bumili ng P20 or more regular load on or before 03-August-2022! Load na!
113,TNT,"Naghahanap ng SULIT DEALS? Handog ng TNT ang bagong HOT DEALS na may EXTRA freebies, para sayo! Dial *123# > HOT DEALS now!"
114,TNT,"1/2 Kahit gipit man, tuloy pa rin ang saya with TNT Sulit Affordaloads! May All Data 50 with Free Tiktok For All, SurfSaya 20 at Pantawid 10 to keep saya going!"
115,TNT,"2/2 Tap 'FREE TIKTOK FOR ALL' for ALL DATA 50, 'SURFSAYA' for SURFSAYA 20, 'OTHERS' for PANTAWID 10 sa smrt.ph/GigaLifeApp, *123# o magload sa suking tindahan!"
116,TNT,Ka-Tropa! Get FREE Unli Allnet Calls & Texts for 1 day pag bumili ng P20 or more regular load on or before 27-July-2022! Load na!
117,TNT,"Get FREE 2 GB for YouTube, NBA TV, GigaPlay, iWantTFC & Cignal Play for 2 days, mag-avail lang ng P20 or more regular load by 23-July-2022! Load now!"
118,TNT,Ka-Tropa! Get FREE 5 GB for 2 days pag bumili ng P100 or more regular load on or before 18-June-2022! Load na!
119,TNT,"2/2 Example: PASADATA 01234567890 300MB , then send to 808."
120,TNT,1/2 Got extra shareable data? Share it with others! Text PASADATA<space>11-digit mobile number<space>Amount in MB to 808. Shared data is valid for 1 day.
121,TNT,Always MORE in the GigaLife App! Earn up to 5x MORE GigaPoints when you buy promos in the app. Earn MORE points to redeem FREE promos. smrt.ph/GigaLifeApp
122,TNT,"Your GigaLife password or One-Time Pin (OTP) is meant to be used with the GigaLife App only. Never share your password or OTP! For your protection, make sure you only transact via the GigaLife App: smrt.ph/GigaLifeApp #BeSmart"
123,TNT,You're trying to access sites not included in your promo OR haven't subscribed to one yet.
124,TNT,Ka-Tropa! Get FREE Unli Allnet Calls & Texts for 1 day pag bumili ng P20 or more regular load on or before 08-June-2022! Load na!
125,TNT,May 60 mins ka na lang sa Unli Trinet Texts mo. Discover MORE promos on the GigaLife App and get MORE points to redeem FREE promos! smrt.ph/GigaLifeApp
126,TNT,2/2 to an international number. You may report suspicious calls or messages. Just call *888 for free using your SMART number. Thank you and take care!
127,TNT,1/2 ADVISORY: #StaySmart and avoid unwanted international call charges! Please check the number carefully when returning a missed call
128,TNT,Sulitin ang pagload KaTropa! 'Pag nagload ka ng P100 until 13-May-22 makakakuha ka ng FREE 100 MB! Gusto mo ba ng 500 MB? Load at least P300 NOW!
129,TNT,Huwag kalimutang mag-load ng P100 or more to get FREE Unli Allnet Calls & Texts for 2 days. Load na!
130,TNT,Ka-Tropa! Get FREE Unli Allnet Calls & Texts for 2 days pag bumili ng P100 or more regular load on or before 30-April-2022! Load na!
131,TNT,"Enjoy P2,000 off + up to 9 GB FREE data + calls at texts sa pinakabagong OPPO Reno6 Z 5G! Now available on the Smart Online Store https://store1.smart.com.ph/view/2541/ at Smart Official Store on Lazada & Shopee. Promo extended til 04/30/22 per DTI136497S22."
132,TNT,"Get FREE 10 GB for YouTube, NBA TV, GigaPlay, iWantTFC & Cignal Play for 2 days, mag-avail lang ng P100 or more regular load by 21-April-2022! Load now!"
133,TNT,"Ang fave GIGA promos ng TNT ay may FREE TIKTOK ARAW-ARAW! Lagi ka na updated sa trends! Tap FREE TIKTOK FOR ALL"" now on smrt.ph/GigaLifeApp & avail ANY promo"""
134,TNT,Naubos na ang Allnet Texts mo. Discover MORE promos on the GigaLife App and get MORE points to redeem FREE promos! smrt.ph/GigaLifeApp
135,TNT,Huwag kalimutang mag-load ng P100 or more hanggang bukas to get FREE 5 GB for 2 days. Load na!
136,TNT,Ka-Tropa! Get FREE 3 GB for 2 days pag bumili ng P50 or more regular load on or before 12-March-2022! Load na!
137,TNT,Pwede nang mag #ParoParoG o kahit ano pang challenge with FREE TikTok EVERY DAY! Tap 'FREE TIKTOK FOR ALL' on smrt.ph/GigaLifeApp and avail any of the promos!
138,TNT,Huwag kalimutang mag-subscribe sa any promo worth P50 or more hanggang bukas to get FREE 1 GB for 3 days. Load na!
139,TNT,Mag-share ng TikTok vids Araw-Araw with TNT's NEW TikTok 10! Get 1 GB of TikTok for 3 days. Pumunta sa smrt.ph/GigaLifeApp para mag-subscribe!
140,TNT,Discover MORE promos on the GigaLife App and get MORE points to redeem FREE promos! smrt.ph/GigaLifeApp
141,TNT,"Simulan na ang saya, Ka-Tropa! Mag log-in sa onelink.to/GigaLifeApp para makita ang GigaHello FREEBIES na naghihintay sa'yo!"
142,TNT,May 60 mins ka na lang sa FREE Data mo. Check the GigaLife App every day for the BEST promos & rewards!
143,TNT,"Simulan na ang saya, Ka-Tropa! Mag log-in sa onelink.to/GigaLifeApp para makita ang GigaHello FREEBIES na naghihintay sa'yo!"
144,TNT,"GigaHello, Ka-Tropa! Punta na sa GigaLife: onelink.to/GigaLifeApp para simulan ang saya at i-claim ang GigaHello FREEBIES mo!"
145,TNT,Alamin ang Privacy Policy and how we comply with privacy laws and regulations at http://tntph.com/privacy-policy. Agree? Text YES to 3727.
146,TNT,Get up to 8 GB & FREE Apple Music for 6 Months in the GigaLife App & enjoy Smart's FASTEST 4G/5G network! smrt.ph/GigaLifeApp
147,TNT,Welcome to TNT! May 1 GB + 10 Allnet Mins + 100 Allnet Texts ka na for 3 days. Get 8 GB & FREE Apple Music for 6 Months in the GigaLife App! smrt.ph/GigaLifeApp
148,TNT,Todo ang saya dahil mas pinabilis ang data ng TNT 5G! Mag-subscribe to UNLI 5G data for only P299 for 7 days. Get it on smrt.ph/GigaLifeApp DTI#117339
149,TNT,"2/2 Wala nang P100 balance required para ma-activate ang roaming service. For more info, call *888."
150,TNT,"1/2 Mga Ka-Tropa, pwede na mag data roaming habang nasa abroad! Bago umalis, i-text ang ROAM ON to 333."
151,TNT,More power para sa lahat ng PASSIONS mo with GIGA POWER 75! Get 8 GB (2 GB + 2 GB Every Day for 3 days)! DTI132015S21 Tap GIGA POWER now on smrt.ph/GigaLifeApp
152,TNT,"Panoorin ang BTS, Olivia Rodrigo, & more LIVE for FREE sa American Music Awards 2021, exclusive on GigaPlay App this NOV. 22, 9AM! Watch here smrt.ph/gigaplay"
153,TNT,"For P30, meron kang 200 MB ARAW-ARAW for FB, IG, Tiktok, at ML + 400 MB at UNLI ALLNET Calls & Texts! Subscribe na on smrt.ph/GigaLifeApp and tap NEW SURFSAYA"""""
154,TNT,"Todo na ang saya with the NEW SURFSAYA with more apps, more data and unli tawagan at texts sa LAHAT!"
155,TNT,1/2 Mas mai-enjoy mo na ang kamustahan w/ tropa in ultra HD gamit ang iyong 5G-ready SIM.
156,TNT,2/2 Mas mabilis na data connection ang hatid ng TNT. Visit tntph.com/5G to know more.
157,TNT,Mas masaya ang online learning kasama ang TNT! Kaya pang ma-achieve ang goals 'pag may mabilis na data connection! Visit 5g.smart to know more
158,TNT,Naghahanap ng UNLI? We hear you Ka-Tropa! Ito na ang new UNLI GIGA VIDEO & STORIES. Get this by tapping UNLI GIGA on the GigaLife App. onelink.to/GigaLifeApp
159,TNT,Over P919 MILLION freebies given away & more to come bukas on GigaDay! Mag-log in from 9:19am-1:19pm to smrt.ph/GigaLifeApp & get FREE 1.9 GB! #FreeOnGigaLife
160,TNT,"2/2 Only on GigaLife: smrt.ph/GigaLifeApp Hurry, this is a limited offer only. Get it while you can!"
161,TNT,1/2 Di pa din naka-UNLI DATA? Get it NOW and enjoy UNLI DATA for all sites starting at P99.
162,TNT,"Ito na ang UNLI DATA para sa UNLI SAYA. Enjoy Unli Data for all sites for as low as P99. This is a one-time offer only. Dali, tap on UNLI DATA only on smrt.ph/GigaLifeApp"
163,TNT,Nag-expire na ang FREE Allnet Texts mo.!!Want DOUBLE GIGA? Use *123# or smrt.ph/GigaLifeApp!!
164,TNT,Mas mabilis na data ang hatid ng TNT 5G! Kaya tuloy-tuloy ka papakiligin ng fave oppa mo in Ultra-HD gamit ang iyong 5G phone. Visit 5g.smart to learn more.
